ppd_id,fy,EEGroupID,TierID,source_GASBSchedules,notes_GASBSchedules,ActAssets_GASB,ActLiabilities_GASB,ActFundedRatio_GASB,UAAL_GASB,ActLiabilities_other,payroll,RequiredContribution,PercentReqContPaid,ARC,PercentARCPaid,TotalPensionLiability,NetPosition,NetPensionLiability,ADEC,AEC,CoveredPayroll_GASB67,PercentADEC,ActAssets_est,ActLiabilities_est,ActFundedRatio_est,RequiredContribution_est,ActValDate_GASBSchedules
36,2016,0,0,,,14553059.426,18408946.98,.7909999999999999,3855887.554,0,5014012,490537.683,1.116498275220173,,,18408946.98,13870502.444,4538444.536,490537.683,547684.477,4853223.86,1.116498275220173,0,0,0,,30jun2016
37,2001,0,0,,,5810759.564,13523825.973,.43,7713066.409,0,3318877.027,547532.673,1.259,547532.673,1.259,,,,,,,,0,0,0,,30jun2001
37,2002,0,0,,,6176574.529,14664661.236,.421,8488086.707,0,3609470.436,537789.669,1.053,537789.669,1.053,,,,,,,,0,0,0,,30jun2002
37,2003,0,0,,,6554364.927,14747339.056,.444,8192974.129,0,3585134.913,572226.197,1.052,572226.197,1.052,,,,,,,,0,0,0,,30jun2003
37,2004,0,0,,,6804394.627,15197925.988,.448,8393531.361,0,3651653.125,638541.074,.6859999999999999,638541.074,.6859999999999999,,,,,,,,0,0,0,,30jun2004
37,2005,0,0,,,7065299.476,16264893.444,.434,9199593.968,0,3734329.113,619186.005,.7829999999999999,619186.005,.7829999999999999,,,,,,,,0,0,0,,30jun2005
37,2006,0,0,,,7686688.965,17365572.132,.443,9678883.166999999,0,3802721.221,672555.5330000001,1.043,672555.5330000001,1.043,,,,,,,,0,0,0,,30jun2006
37,2007,0,0,,,8476559.085999999,18815812.935,.451,10339253.849,0,4267995.166,742882.002,1.014,742882.002,1.014,,,,,,,,0,0,0,,30jun2007
37,2008,0,0,,,9034047.393999999,18750062.742,.482,9716015.347999999,0,4348535.867,800059.308,1.01,800059.308,1.01,,,,,,,,0,0,0,,30jun2008
37,2009,0,0,,,8029820.891,19162625.56,.419,11132804.669,0,4339032.221,819638.258,1.042,819638.258,1.042,,,,,,,,0,0,0,,30jun2009
37,2010,0,0,,,8804963.622,19896625.065,.443,11091661.443,0,4312610.704,952120.3490000001,.9300000000000001,952120.3490000001,.9300000000000001,,,,,,,,0,0,0,,30jun2010
37,2011,0,0,,,8892059.345000001,20315242.855,.4379999999999999,11423183.51,0,4269943.587,1048649.181,.873,1048649.181,.873,,,,,,,,0,0,0,,30jun2011
37,2012,0,0,,,8914561.573999999,20860323.537,.4270000000000001,11945761.963,0,4232018.389,1039857.902,.909,1039857.902,.909,,,,,,,,0,0,0,,30jun2012
37,2013,0,0,,,9688931.998,21211747.412,.457,11522815.414,0,4124367.98,1041062.06,1.147,1041062.06,1.147,,,,,,,,0,0,0,,30jun2013
37,2014,0,0,,,10393582.888,21592209.2,.481,11198626.312,0,4262900,1056783.24,.972,1056783.24,.972,21592209.2,10691309.205,10900899.995,1056783.24,1026692.363,3860943,.9715259706427593,0,0,0,,30jun2014
37,2015,0,0,,,10632811.243,22923437.362,.4638401769808714,12291107,0,4006156.745,1029687,1.026710058493503,,,22923438,10479023,12444415,1029687,1057190,3817014,1.026710058493503,0,0,0,,30jun2015
37,2016,0,0,,,10874718.64,23231950.475,.468093225822874,12357231.835,0,4048265.653,1072923.691,1.032854635698411,,,23231950.475,10398758.644,12833191.831,1072923.691,1108174.208,3870490.694,1.032854635698411,0,0,0,,30jun2016
38,2001,0,0,,,15112425,15553379,.9716,440955,0,4550180,268315,1,268315,1,,,,,,,,0,0,0,,30jun2001
38,2002,0,0,,,15613114,16868559,.9256,1255445,0,4743576,278683,1,278683,1,,,,,,,,0,0,0,,30jun2002
38,2003,0,0,,,16120476,17987375,.8962,1866899,0,4881100,289772,.992,289772,.992,,,,,,,,0,0,0,,30jun2003
38,2004,0,0,,,16951943,19128411,.8862000000000001,2176468,0,5072028,328760,.909,328760,.909,,,,,,,,0,0,0,,30jun2004
38,2005,0,0,,,17951490,20240099,.8869,2288609,0,5236861,363181,.856,363181,.856,,,,,,,,0,0,0,,30jun2004
38,2006,0,0,,,19144037,21651122,.8842,2507086,0,5523863,387542,.838,387542,.838,,,,,,,,0,0,0,,30jun2006
38,2007,0,0,,,20759628.415,23026113.782,.9016,2266485.367,0,5781706.199,411879.59,.833,411879.59,.833,,,,,,,,0,0,0,,30jun2007
38,2008,0,0,,,21857423.183,24522216.589,.8913,2664793.406,0,6131445.367,432828.217,.872,432828.217,.872,,,,,,,,0,0,0,,30jun2008
38,2009,0,0,,,21123979.941,26018593.823,.8119,4894613.882,0,6438643.124,473054.363,.878,473054.363,.878,,,,,,,,0,0,0,,30jun2009
38,2010,0,0,,,21537458.56,26468419.65,.8137000000000001,4930961.09,0,6571182.005,501893.236,.895,501893.236,.895,,,,,,,,0,0,0,,30jun2010
38,2011,0,0,,,22575309.199,28257080.114,.7989000000000001,5681770.915,0,6574872.719,568397.561,.823,568397.561,.823,,,,,,,,0,0,0,,30jun2011
38,2012,0,0,,,23530094.461,29446197.486,.7990999999999999,5916103.025,0,6786158.72,568389.507,.982,568389.507,.982,,,,,,,,0,0,0,,30jun2012
38,2013,0,0,,,24711096.187,30498342.32,.8101999999999999,5787246.133,0,6880131.134,614846.608,.98,614846.608,.98,,,,,,,,0,0,0,,30jun2013
38,2014,0,0,,,26460428.085,32004456.088,.8268000000000001,5544028.003,0,7099277.28,639001.548,1,639001.548,1,32004456.088,28038549.893,3965906.195,639001.548,639001.548,7099277.28,1,0,0,0,,30jun2014
38,2015,0,0,,,27915379.103,33370318.731,.8365,5454939.628,0,7326348.141,644561.012,1.019160556983859,,,33370318.731,28429834.829,4940483.902,644561.012,656911.16,7326348.141,1.019160556983859,0,0,0,,30jun2015
38,2016,0,0,,,29033696.587,34619749.147,.8386,5586052.56,0,7556515.72,660091.455,1.037227482364546,,,34619749.147,28326433.656,6293315.491,660091.455,684664.998,7556515.72,1.037227482364546,0,0,0,,30jun2016
39,2001,0,0,,,9835182,11140014,.88,1304832,0,4876555,249356.715,.7759999999999999,249356.715,.7759999999999999,,,,,,,,0,0,0,,31dec2000
39,2002,0,0,,,9962918,11743052,.85,1780134,0,5116384,260482.999,.797,260482.999,.797,,,,,,,,0,0,0,,31dec2001
39,2003,0,0,,,9784862,12613599,.78,2828736,0,4865903,282329.785,.789,282329.785,.789,,,,,,,,0,0,0,,31dec2002
39,2004,0,0,,,10853462,14439546,.75,3586084,0,4978132,338879.96,.6940000000000001,338879.96,.6940000000000001,,,,,,,,0,0,0,,31dec2003
39,2005,0,0,,,10971427,15714092,.7,4742666,0,5102016,381791.085,.6859999999999999,381791.085,.6859999999999999,,,,,,,,0,0,0,,31dec2004
39,2006,0,0,,,11339293,16491762,.69,5152469,0,5270351,471424.006,.634,471424.006,.634,,,,,,,,0,0,0,,31dec2005
39,2007,0,0,,,12189197,17552791,.69,5363593,0,5599193,531292.151,.639,531292.151,.639,,,,,,,,0,0,0,,31dec2006
39,2008,0,0,,,13433115,18984915,.71,5551800,0,5949228,607662.3000000001,.6509999999999999,607662.3000000001,.6509999999999999,,,,,,,,0,0,0,,31dec2007
39,2009,0,0,,,11827619,20106787,.59,8279168,0,6226526,660833.664,.6800000000000001,660833.664,.6800000000000001,,,,,,,,0,0,0,,31dec2008
39,2010,0,0,,,13461221,21138206,.64,7676985,0,6532496,682062.4129999999,.721,682062.4129999999,.721,,,,,,,,0,0,0,,31dec2009
39,2011,0,0,,,13589658,21853783,.62,8264125,0,6494048,709964.322,.741,709964.322,.741,,,,,,,,0,0,0,,31dec2010
39,2012,0,0,,,13379020,22607170,.59,9228150,0,6401462,843361.836,.674,843361.836,.674,,,,,,,,0,0,0,,31dec2011
39,2013,0,0,,,14562765,24328670,.6,9765906,0,6509809,825196.972,.75,825196.972,.75,,,,,,,,0,0,0,,31dec2013
39,2014,0,0,,,15662010,25130467,.62,9468457,0,6560105,842286,.7940426410981543,,,24827591,16535797,8291794,842286,668811,6424739,.7940426410981543,0,0,0,,31dec2014
39,2015,0,0,,,17408577,25947781,.67,8539203,0,6603613,908019,.7446683384378521,,,25614471,16635521,89978950,908019,676173,6635196,.7446683384378521,0,0,0,,31dec2015
39,2016,0,0,,,17408577,25947781,.67,8539203,0,6388450,891638,.8089751670520996,,,26410538,17192432,9218106,891638,721313,6388450,.8089751670520996,0,0,0,,31dec2016
40,2001,0,0,,,6910501,4900143,1.41,-2010358,0,1861674,55068,1.269292792,55068,1.269292792,,,,,,,,0,0,0,,30jun2001
40,2002,0,0,,,6883299,5492646,1.253,-1390653,0,2009033,13909,1.192240546,13909,1.192240546,,,,,,,,0,0,0,,30jun2002
40,2003,0,0,,,6753585,5917227,1.141,-836358,0,2171152,28602,1.005550917,28602,1.005550917,,,,,,,,0,0,0,,30jun2003
40,2004,0,0,,,6645464,6577290,1.01,-68174,0,2219434,70162,1.021483929,70162,1.021483929,,,,,,,,0,0,0,,30jun2004
40,2005,0,0,,,6511562,7180924,.907,669362,0,2296397,92556,1.021704416,92556,1.021704416,,,,,,,,0,0,0,,30jun2004
40,2006,0,0,,,6677969,8199712,.8140000000000001,1521743,0,2409365,127183,1.10714841,127183,1.10714841,,,,,,,,0,0,0,,30jun2006
40,2007,0,0,,,7107113.404,8868182.305,.8009999999999999,1761068.901,0,2535847.284,166398.143,1.117,166398.143,1.117,,,,,,,,0,0,0,,30jun2007
40,2008,0,0,,,7482369.811,9707339.786,.7709999999999999,2224969.975,0,2640853.98,202393.461,1.102,202393.461,1.102,,,,,,,,0,0,0,,30jun2008
40,2009,0,0,,,7402277.531,10491358.112,.706,3089080.581,0,2652927.312,230153.516,1.119,230153.516,1.119,,,,,,,,0,0,0,,30jun2009
40,2010,0,0,,,7296321.679,11131174.187,.655,3834852.508,0,2703404.04,263115.052,1.102,263115.052,1.102,,,,,,,,0,0,0,,30jun2010
40,2011,0,0,,,7409156.576,11777126.077,.629,4367969.501,0,2743559.808,297780.23,1.12,297780.23,1.12,,,,,,,,0,0,0,,30jun2011
40,2012,0,0,,,7294614.896,12149559.743,.6,4854944.847,0,2700775.268,345352.977,1.057,345352.977,1.057,,,,,,,,0,0,0,,30jun2012
40,2013,0,0,,,7438785.893,12503081.707,.595,5064295.814,0,2697950.056,415054.15,1,415054.15,1,,,,,,,,0,0,0,,30jun2013
40,2014,0,0,,,8084773.719,13061348.369,.619,4976574.65,0,2751434.303,438326.212,1,438326.212,1,13061149,8615149,4446000,439471,439471,2751434,1,0,0,0,,30jun2014
40,2015,0,0,,,8571631.469000001,14353632.968,.597,5782001.499,0,2780356.558,405229,1.003474578571622,,,14353633,8519002,5834631,405229,406637,3080357,1.003474578571622,0,0,0,,30jun2015
40,2016,0,0,,,8674491.52,14780913.017,.5870000000000001,6106421.497,0,2845612.315,387719,1.00541629375914,,,14791127,8151573,6639554,387719,389819,2943521,1.00541629375914,0,0,0,,30jun2016
41,2001,0,0,,,7206420.162,5729229.055,1.258,-1477191.11,0,1628157.212,31707.401,1.075734432,31707.401,1.075734432,,,,,,,,0,0,0,,30jun2001
41,2002,0,0,,,7030468.498,6348163.928,1.107,-682304.57,0,1721085.383,7742.052,1.252141551,7742.052,1.252141551,,,,,,,,0,0,0,,30jun2002
41,2003,0,0,,,6737244.554,6877342.321000001,.98,140097.77,0,1787693.652,13416.801,1.112042804,13416.801,1.112042804,,,,,,,,0,0,0,,30jun2003
41,2004,0,0,,,6397726.506,7453191.207,.858,1055464.7,0,1772077.308,57340.045,.5487634863000001,57340.045,.5487634863000001,,,,,,,,0,0,0,,30jun2004
41,2005,0,0,,,5983974.408,8018088.749,.746,2034114.34,0,1787594.376,95248.821,.6308875676,95248.821,.6308875676,,,,,,,,0,0,0,,30jun2004
41,2006,0,0,,,5822070.515,9503482.151000001,.613,3681411.63,0,1840978.097,139913.272,.5109151689,139913.272,.5109151689,,,,,,,,0,0,0,,30jun2006
41,2007,0,0,,,5864070.268,10044931.61,.584,4180861.34,0,1925061.513,188993.795,.5369805818,188993.795,.5369805818,,,,,,,,0,0,0,,30jun2007
41,2008,0,0,,,5820925.107,10747700.812,.542,4926775.705,0,1986583.548,278890.326,.43,278890.326,.43,,,,,,,,0,0,0,,30jun2008
41,2009,0,0,,,5297114.652,11332961.313,.467,6035846.661,0,1900456.488,310203.264,.413,310203.264,.413,,,,,,,,0,0,0,,30jun2009
41,2010,0,0,,,4712944.594,11692944.54,.403,6979999.946000001,0,1958704.332,366309.308,.441,366309.308,.441,,,,,,,,0,0,0,,30jun2010
41,2011,0,0,,,4237734.592,11903435.476,.356,7665700.884,0,1864686.54,402520.306,.529,402520.306,.529,,,,,,,,0,0,0,,30jun2011
41,2012,0,0,,,3598543.034,12113747.593,.297,8515204.559,0,1776873.435,461359.224,.511,461359.224,.511,,,,,,,,0,0,0,,30jun2012
41,2013,0,0,,,3141779.66,12170582.752,.258,9028803.092,0,1776424.066,506905.515,.608,506905.515,.608,,,,,,,,0,0,0,,30jun2013
41,2014,0,0,,,2951853.977,12366960.287,.239,9415106.310000001,0,1706572.485,534335.317,.5770000000000001,534335.317,.5770000000000001,12366960,3139774,9227186,534335,308506,1706572,.5773643875097083,0,0,0,,30jun2014
41,2015,0,0,,,2907677.697,13255106.236,.219,10347428.539,0,1672914.539,549322,1.001647485445695,,,13255106,2880250,10374856,549322,550227,1672914,1.001647485445695,0,0,0,,30jun2015
41,2016,0,0,,,2671773.682,14161404.553,.189,11489630.871,0,1676812.33,536360,1.00090051457976,,,14299300,2508172,11791128,536360,536843,1789853,1.00090051457976,0,0,0,,30jun2016
