ppd_id,fy,EEGroupID,TierID,source_ActCosts,notes_ActCosts,ContributionFY,NormCostRate_tot,NormCostRate_EE,NormCostRate_ER,ReqContRate_ER,ReqContRate_tot,NormCostAmount_tot,NormCostAmount_EE,NormCostAmount_ER,ReqContAmount_ER,ReqContAmount_tot,NormCostRate_tot_est,NormCostRate_EE_est,NormCostRate_ER_est,ReqContRate_ER_est,ProjectedPayroll
91,2012,4,0,,,,.11012834,,,,,64975.723,,,590000,,,,,,590000
91,2012,3,0,,,,.14979377,,,,,159800,,,1066800,,,,,,1066800
91,2012,1,0,,,,.10780306,,,,,453473.56,,,4206500,,,,,,4206500
91,2012,2,0,,,,.10776899,,,,,293950.72,,,2727600,,,,,,2727600
92,2012,2,0,,,,,,,,,,,,,,,,,,
92,2012,3,0,,,,,,,,,,,,,,,,,,
92,2012,1,0,,,,,,,,,,,,,,,,,,
92,2012,4,0,,,,,,,,,,,,,,,,,,
93,2012,3,0,,,,,,,,,,,,,,,,,,
93,2012,2,0,,,,,,,,,,,,,,,,,,
93,2012,1,0,,,,,,,,,,,,,,,,,,
93,2012,4,0,,,,,,,,,,,,,,,,,,
95,2012,2,0,,,2015,.085200004,.037500001,.047699999,.22600001,,,,,236433.2,,,,,,1046164.6
95,2012,1,0,,,2015,.092700005,.0425,.0502,.2333,,,,,168122.94,,,,,,720629.81
100,2012,3,0,,,,,,,,,,,,,,,,,,
100,2012,2,0,,,,,,,,,,,,,,,,,,
100,2012,1,0,,,,,,,,,,,,,,,,,,
105,2012,3,0,,,,,,,,,,,,,,,,,,
105,2012,2,0,,,,,,,,,,,,,,,,,,
105,2012,1,0,,,,,,,,,,,,,,,,,,
115,2012,2,0,,,,,,,.1111,,,,,,,,,,,
115,2012,4,0,,,,,,,.1111,,,,,,,,,,,
115,2012,3,0,,,,.10600001,.050000001,.055999998,.18200001,,,,,,,,,,,7004577
115,2012,1,0,,,,.084100001,.050000001,.0341,.1487,,,,,,,,,,,3713119
125,2012,3,0,,,,,,,,,,,,,,,,,,
125,2012,6,0,,,2014,.204,.07,.134,.14,.20999999,,,,,,,,,,
125,2012,2,0,,,,,,,,,,,,,,,,,,
125,2012,1,0,,,2014,.133,.07,.063000001,.07,.14,,,,,,,,,,
125,2012,4,0,,,2014,.126,.077500001,.048499998,.077500001,.155,,,,,,,,,,
125,2012,5,0,,,2014,.161,.07,.091000006,.101,.171,,,,,,,,,,
1,2001,0,0,,,2004,.1,.050100002,.049899999,.045500003,.095600009,,,,,,0,0,0,0,
1,2002,0,0,,,2005,.098800004,.050100002,.048699997,.063200004,.11330001,,,,,,0,0,0,0,
1,2003,0,0,,,2006,.087299995,.050100002,.0372,.052299999,.1024,,,,,,0,0,0,0,
1,2004,0,0,,,2007,.098800004,.050100002,.048699997,.076700002,.1268,,,,,,0,0,0,0,
1,2005,0,0,,,2008,.098199993,.050100002,.048099998,.092200004,.14230001,,,,,,0,0,0,0,
1,2006,0,0,,,2009,.1006,.050100002,.050500002,.1021,.1522,,,,,,0,0,0,0,
1,2007,0,0,,,2010,.1002,.050100002,.050100002,.10520001,.15530001,,,,,,0,0,0,0,
1,2008,0,0,,,2011,.1005,.050100002,.0504,.11270001,.16280001,,,,,,0,0,0,0,
1,2009,0,0,,,2012,.088399999,.050100002,.0383,.082399994,.13249999,,,,,,0,0,0,0,
1,2010,0,0,,,2013,.080600001,.0502,.030400001,.079499997,.12970001,,,,,,0,0,0,0,
1,2011,0,0,,,2014,.077800006,.050100002,.0277,.1126,.1627,,,,,,0,0,0,0,
1,2012,0,0,,,2015,.0964,.0726,.023800001,.11979999,.19239999,,,,,,0,0,0,0,
1,2013,0,0,,,2016,.0999,.0748,.0251,.1222,.197,,,,,,0,0,0,0,
1,2014,0,0,,,2017,.102,.074699998,.0273,.12710001,.2018,,,,,,0,0,0,0,
1,2015,0,0,,,2018,.099600002,.074699998,.024900001,.117,.1917,,,,,,0,0,0,0,
1,2016,0,0,,,2019,.089399993,.074699998,.0147,.087899998,.1626,,,,,,0,0,0,0,
2,2001,0,0,,,2004,.1078,.050000001,.057800002,.055199999,.10520001,,,,,,0,0,0,0,
2,2002,0,0,,,2005,.1091,.050000001,.059099998,.075400002,.12540001,,,,,,0,0,0,0,
2,2003,0,0,,,2006,.1092,.050000001,.0592,.094399996,.1444,,,,,,0,0,0,0,
2,2004,0,0,,,2007,.1086,.050000001,.058600001,.093599997,.1436,,,,,,0,0,0,0,
2,2005,0,0,,,2008,.1076,.050000001,.057600003,.1106,.16059999,,,,,,0,0,0,0,
2,2006,0,0,,,2009,.1145,.050000001,.064499997,.12069999,.1707,,,,,,0,0,0,0,
2,2007,0,0,,,2010,.11279999,.050000001,.062800005,.1251,.1751,,,,,,0,0,0,0,
2,2008,0,0,,,2011,.11390001,.050000001,.063900001,.1338,.1838,,,,,,0,0,0,0,
2,2009,0,0,,,2012,.1142,.050000001,.064199999,.1275,.17749999,,,,,,0,0,0,0,
2,2010,0,0,,,2013,.089399993,.050000001,.0394,.1116,.16159999,,,,,,0,0,0,0,
2,2011,0,0,,,2014,.093800001,.072499998,.021300001,.1171,.18959999,,,,,,0,0,0,0,
2,2012,0,0,,,2015,.090299994,.075000003,.0153,.1171,.19209999,,,,,,0,0,0,0,
2,2013,0,0,,,2016,.093400002,.075000003,.0184,.11939999,.19440001,,,,,,0,0,0,0,
2,2014,0,0,,,2017,.094999999,.075000003,.02,.1201,.19510001,,,,,,0,0,0,0,
2,2015,0,0,,,2018,.099300005,.075000003,.024300002,.1224,.1974,,,,,,0,0,0,0,
2,2016,0,0,,,2019,.096999995,.075000003,.022,.1241,.1991,,,,,,0,0,0,0,
