ppd_id,fy,EEGroupID,TierID,source_membership,notes_membership,beneficiaries_DisabilityRetirees,beneficiaries_DependentSurvivors,actives_tot,ActiveSalaries,ActiveAge_avg,ActiveTenure_avg,ActiveSalary_avg,InactiveVestedMembers,InactiveNonVested,beneficiaries_tot,benefits_tot,BeneficiaryAge_avg,BeneficiaryBenefit_avg,beneficiaries_ServiceRetirees,benefits_ServiceRetirees,ServiceRetireeAge_avg,ServiceRetireeBenefit_avg,ServiceRetAge_avg,ServiceRetTenure_avg,ServiceRetBenefit_avg,benefits_DisabilityRetirees,beneficiaries_survivors,beneficiaries_SpousalSurvivors,beneficiaries_other,DROPMembers,OtherMembers,TotMembership,ActiveSalary_avg_est,BeneficiaryBenefit_avg_est
165,2002,0,0,,,,,12639,440680.03,,,34.867001,,,11363,140805.13,,12.391545,11363,,,,,,,,,,0,,,24002,0,1
165,2003,0,0,,,,,12833,448579.06,,,34.955002,,,11322,147024.72,,12.985755,11322,,,,,,,,,,0,,,24155,0,1
165,2004,0,0,,,,,11791,444596.31,,,37.706001,,,11311,154133.45,,13.626863,11311,,,,,,,,,,0,,,23102,0,1
165,2005,0,0,,,,,9820,390593.59,,,39.775002,,,11396,165095.73,,14.487165,11396,,,,,,,,,,0,,,21216,0,1
165,2006,0,0,,,,,9047,361151.47,,,39.918999,,,11541,175193.09,,15.180062,11541,,,,,,,,,,0,,,20588,0,1
165,2007,0,0,,,,,8971,361701.47,,,40.319,,,11478,180332.69,,15.71116,11478,,,,,,,,,,0,,,20449,0,1
165,2008,0,0,,,,,8823,368471,,,41.763,,,11388,185688.86,,16.30566,11388,,,,,,,,,,0,,,20211,0,1
165,2009,0,0,,,,,8599,357072.84,,,41.525002,,,11407,193045.58,,16.923431,11407,,,,,,,,,,0,,,20006,0,1
165,2010,0,0,,,,,8072,334343.5,,,41.419998,,,11539,202935.86,,17.586954,11539,,,,,,,,,,0,,,19611,0,1
165,2011,0,0,,,,,7250,303379.47,,,41.845001,,,11555,211169.3,,18.275145,11555,,,,,,,,,,0,,,18805,0,1
165,2012,0,0,,,1156,,6234,257992.42,,,41.384998,1894,,11943,229466.5,,19.213472,10359,,,,,,,,428,,0,,,20071,0,1
165,2013,0,0,,,1162,,5364,213291.08,,,39.763,2395,,12089,238498.52,,19.728556,10523,,,,,,,,404,,0,,,19848,0,1
165,2014,0,0,,,,,4881,203507.08,,,41.693726,2728,,12026,242700,,20.181274,12026,,,,,,,,,,0,,,19635,1,1
165,2015,0,0,,,,,4981,,,,37.785694,2881,,12096,,,20.96011,12096,,,,,,,,,,0,,,19958,1,1
165,2016,0,0,,,,,4235,,,,43.718388,3588,,12051,,,20.182194,12051,,,,,,,,,,0,,,19874,1,1
166,2001,0,0,,,,,6023,318682.91,,,52.910999,,,3989,78435.703,,19.663,3989,,,,,,,,,,0,,,10012,0,0
166,2002,0,0,,,,,5983,339449.88,,,55.733002,,,4115,99825.781,,24.259001,4115,,,,,,,,,,0,,,10098,0,0
166,2003,0,0,,,,,5876,336019.78,,,57.185001,,,4370,110141.48,,25.204,4370,,,,,,,,,,0,,,10246,0,0
166,2004,0,0,,,,,5670,341629.31,,,60.251999,,,4559,119792.28,,26.275999,4559,,,,,,,,,,0,,,10229,0,0
166,2005,0,0,,,,,5628,355106,,,63.096001,381,,4665,128712.02,,27.591,4665,,,,,,,,,,0,,,10674,0,0
166,2006,0,0,,,,,5362,357361.13,,,66.647003,485,,4848,141702.19,,29.229,4848,,,,,,,,,,0,,,10695,0,0
166,2007,0,0,,,,,5294,374792.59,,,70.795998,498,,5294,158878.23,,30.011,5294,,,,,,,,,,0,,,11086,0,0
166,2008,0,0,,,,,5060,376002.34,,,74.308998,505,,5306,168773.25,,31.808001,5306,,,,,,,,,,0,,,10871,0,0
166,2009,0,0,,,,,5012,376015,,,75.023003,452,,5379,170503.55,,31.698,5379,,,,,,,,,,0,,,10843,0,0
166,2010,0,0,,,,,5786,431226.16,,,74.528999,376,,5591,182300.14,,32.605999,5591,,,,,,,,,,0,,,11753,0,0
166,2011,0,0,,,,,5515,405336.53,,,73.497002,398,,5712,196195.78,,34.348,5515,,,,,,,,,,0,,,11625,0,0
166,2012,0,0,,,,,5554,398460.25,,,71.742996,413,,5824,203710.72,,34.978001,5824,,,,,,,,,,0,,,11791,0,0
166,2013,0,0,,,,,5435,395988.03,,,70.636002,358,171,5961,210686.88,,35.344002,5961,,,,,,,,,,0,,,11754,0,0
